dateId,dateType,fullDate,day,dayName,calendarDayOfWeek,noncalendarDayOfWeek,dayOfQuarter,dayOfYear,monthDay
20190331,Date,3/31/2019,31,Sunday,1,6,90,90,31-Mar
20190401,Date,4/1/2019,1,Monday,2,7,1,91,1-Apr
20190402,Date,4/2/2019,2,Tuesday,3,1,2,92,2-Apr
20190403,Date,4/3/2019,3,Wednesday,4,2,3,93,3-Apr
20190404,Date,4/4/2019,4,Thursday,5,3,4,94,4-Apr
20190405,Date,4/5/2019,5,Friday,6,4,5,95,5-Apr
20190406,Date,4/6/2019,6,Saturday,7,5,6,96,6-Apr
20190407,Date,4/7/2019,7,Sunday,1,6,7,97,7-Apr
20190408,Date,4/8/2019,8,Monday,2,7,8,98,8-Apr
20190409,Date,4/9/2019,9,Tuesday,3,1,9,99,9-Apr
20190410,Date,4/10/2019,10,Wednesday,4,2,10,100,10-Apr
20190411,Date,4/11/2019,11,Thursday,5,3,11,101,11-Apr
20190412,Date,4/12/2019,12,Friday,6,4,12,102,12-Apr
20190413,Date,4/13/2019,13,Saturday,7,5,13,103,13-Apr
20190414,Date,4/14/2019,14,Sunday,1,6,14,104,14-Apr
20190415,Date,4/15/2019,15,Monday,2,7,15,105,15-Apr
20190416,Date,4/16/2019,16,Tuesday,3,1,16,106,16-Apr
20190417,Date,4/17/2019,17,Wednesday,4,2,17,107,17-Apr
20190418,Date,4/18/2019,18,Thursday,5,3,18,108,18-Apr
20190419,Date,4/19/2019,19,Friday,6,4,19,109,19-Apr
20190420,Date,4/20/2019,20,Saturday,7,5,20,110,20-Apr
20190421,Date,4/21/2019,21,Sunday,1,6,21,111,21-Apr
20190422,Date,4/22/2019,22,Monday,2,7,22,112,22-Apr
20190423,Date,4/23/2019,23,Tuesday,3,1,23,113,23-Apr
20190424,Date,4/24/2019,24,Wednesday,4,2,24,114,24-Apr
20190425,Date,4/25/2019,25,Thursday,5,3,25,115,25-Apr
20190426,Date,4/26/2019,26,Friday,6,4,26,116,26-Apr
20190427,Date,4/27/2019,27,Saturday,7,5,27,117,27-Apr
20190428,Date,4/28/2019,28,Sunday,1,6,28,118,28-Apr
20190429,Date,4/29/2019,29,Monday,2,7,29,119,29-Apr
20190430,Date,4/30/2019,30,Tuesday,3,1,30,120,30-Apr
20190501,Date,5/1/2019,1,Wednesday,4,2,31,121,1-May
