20190312,date,2019-03-12 00:00:00.000,12,Tuesday,3,1,71,71,3/12
20190313,date,2019-03-13 00:00:00.000,13,Wednesday,4,2,72,72,3/13
20190314,date,2019-03-14 00:00:00.000,14,Thursday,5,3,73,73,3/14
20190315,date,2019-03-15 00:00:00.000,15,Friday,6,4,74,74,3/15
20190316,date,2019-03-16 00:00:00.000,16,Saturday,7,5,75,75,3/16
20190317,date,2019-03-17 00:00:00.000,17,Sunday,1,6,76,76,3/17
20190318,date,2019-03-18 00:00:00.000,18,Monday,2,7,77,77,3/18
20190319,date,2019-03-19 00:00:00.000,19,Tuesday,3,1,78,78,3/19
20190320,date,2019-03-20 00:00:00.000,20,Wednesday,4,2,79,79,3/20
20190321,date,2019-03-21 00:00:00.000,21,Thursday,5,3,80,80,3/21
20190322,date,2019-03-22 00:00:00.000,22,Friday,6,4,81,81,3/22
20190323,date,2019-03-23 00:00:00.000,23,Saturday,7,5,82,82,3/23
20190324,date,2019-03-24 00:00:00.000,24,Sunday,1,6,83,83,3/24
20190325,date,2019-03-25 00:00:00.000,25,Monday,2,7,84,84,3/25
20190326,date,2019-03-26 00:00:00.000,26,Tuesday,3,1,85,85,3/26
20190327,date,2019-03-27 00:00:00.000,27,Wednesday,4,2,86,86,3/27
20190328,date,2019-03-28 00:00:00.000,28,Thursday,5,3,87,87,3/28
20190329,date,2019-03-29 00:00:00.000,29,Friday,6,4,88,88,3/29
20190330,date,2019-03-30 00:00:00.000,30,Saturday,7,5,89,89,3/30
20190331,date,2019-03-31 00:00:00.000,31,Sunday,1,6,90,90,3/31
20190401,date,2019-04-01 00:00:00.000,1,Monday,2,7,1,91,4/1
20190402,date,2019-04-02 00:00:00.000,2,Tuesday,3,1,2,92,4/2
20190403,date,2019-04-03 00:00:00.000,3,Wednesday,4,2,3,93,4/3
20190404,date,2019-04-04 00:00:00.000,4,Thursday,5,3,4,94,4/4
20190405,date,2019-04-05 00:00:00.000,5,Friday,6,4,5,95,4/5
20190406,date,2019-04-06 00:00:00.000,6,Saturday,7,5,6,96,4/6
20190407,date,2019-04-07 00:00:00.000,7,Sunday,1,6,7,97,4/7
20190408,date,2019-04-08 00:00:00.000,8,Monday,2,7,8,98,4/8
20190409,date,2019-04-09 00:00:00.000,9,Tuesday,3,1,9,99,4/9
20190410,date,2019-04-10 00:00:00.000,10,Wednesday,4,2,10,100,4/10
20190411,date,2019-04-11 00:00:00.000,11,Thursday,5,3,11,101,4/11
20190412,date,2019-04-12 00:00:00.000,12,Friday,6,4,12,102,4/12
20190413,date,2019-04-13 00:00:00.000,13,Saturday,7,5,13,103,4/13
20190414,date,2019-04-14 00:00:00.000,14,Sunday,1,6,14,104,4/14
20190415,date,2019-04-15 00:00:00.000,15,Monday,2,7,15,105,4/15
20190416,date,2019-04-16 00:00:00.000,16,Tuesday,3,1,16,106,4/16
20190417,date,2019-04-17 00:00:00.000,17,Wednesday,4,2,17,107,4/17
20190418,date,2019-04-18 00:00:00.000,18,Thursday,5,3,18,108,4/18
20190419,date,2019-04-19 00:00:00.000,19,Friday,6,4,19,109,4/19
20190420,date,2019-04-20 00:00:00.000,20,Saturday,7,5,20,110,4/20
20190421,date,2019-04-21 00:00:00.000,21,Sunday,1,6,21,111,4/21
20190422,date,2019-04-22 00:00:00.000,22,Monday,2,7,22,112,4/22
20190423,date,2019-04-23 00:00:00.000,23,Tuesday,3,1,23,113,4/23
20190424,date,2019-04-24 00:00:00.000,24,Wednesday,4,2,24,114,4/24
20190425,date,2019-04-25 00:00:00.000,25,Thursday,5,3,25,115,4/25
20190426,date,2019-04-26 00:00:00.000,26,Friday,6,4,26,116,4/26
20190427,date,2019-04-27 00:00:00.000,27,Saturday,7,5,27,117,4/27
20190428,date,2019-04-28 00:00:00.000,28,Sunday,1,6,28,118,4/28
20190429,date,2019-04-29 00:00:00.000,29,Monday,2,7,29,119,4/29
20190430,date,2019-04-30 00:00:00.000,30,Tuesday,3,1,30,120,4/30
20190501,date,2019-05-01 00:00:00.000,1,Wednesday,4,2,31,121,5/1
20190502,date,2019-05-02 00:00:00.000,2,Thursday,5,3,32,122,5/2
20190503,date,2019-05-03 00:00:00.000,3,Friday,6,4,33,123,5/3
20190504,date,2019-05-04 00:00:00.000,4,Saturday,7,5,34,124,5/4
20190505,date,2019-05-05 00:00:00.000,5,Sunday,1,6,35,125,5/5
20190506,date,2019-05-06 00:00:00.000,6,Monday,2,7,36,126,5/6
20190507,date,2019-05-07 00:00:00.000,7,Tuesday,3,1,37,127,5/7
20190508,date,2019-05-08 00:00:00.000,8,Wednesday,4,2,38,128,5/8
20190509,date,2019-05-09 00:00:00.000,9,Thursday,5,3,39,129,5/9
20190510,date,2019-05-10 00:00:00.000,10,Friday,6,4,40,130,5/10
20190511,date,2019-05-11 00:00:00.000,11,Saturday,7,5,41,131,5/11
20190512,date,2019-05-12 00:00:00.000,12,Sunday,1,6,42,132,5/12
20190513,date,2019-05-13 00:00:00.000,13,Monday,2,7,43,133,5/13
20190514,date,2019-05-14 00:00:00.000,14,Tuesday,3,1,44,134,5/14
20190515,date,2019-05-15 00:00:00.000,15,Wednesday,4,2,45,135,5/15
20190516,date,2019-05-16 00:00:00.000,16,Thursday,5,3,46,136,5/16
20190517,date,2019-05-17 00:00:00.000,17,Friday,6,4,47,137,5/17
20190518,date,2019-05-18 00:00:00.000,18,Saturday,7,5,48,138,5/18
20190519,date,2019-05-19 00:00:00.000,19,Sunday,1,6,49,139,5/19
20190520,date,2019-05-20 00:00:00.000,20,Monday,2,7,50,140,5/20
20190521,date,2019-05-21 00:00:00.000,21,Tuesday,3,1,51,141,5/21
20190522,date,2019-05-22 00:00:00.000,22,Wednesday,4,2,52,142,5/22
20190523,date,2019-05-23 00:00:00.000,23,Thursday,5,3,53,143,5/23
20190524,date,2019-05-24 00:00:00.000,24,Friday,6,4,54,144,5/24
20190525,date,2019-05-25 00:00:00.000,25,Saturday,7,5,55,145,5/25
20190526,date,2019-05-26 00:00:00.000,26,Sunday,1,6,56,146,5/26
20190527,date,2019-05-27 00:00:00.000,27,Monday,2,7,57,147,5/27
20190528,date,2019-05-28 00:00:00.000,28,Tuesday,3,1,58,148,5/28
20190529,date,2019-05-29 00:00:00.000,29,Wednesday,4,2,59,149,5/29
20190530,date,2019-05-30 00:00:00.000,30,Thursday,5,3,60,150,5/30
20190531,date,2019-05-31 00:00:00.000,31,Friday,6,4,61,151,5/31
20190601,date,2019-06-01 00:00:00.000,1,Saturday,7,5,62,152,6/1
20190602,date,2019-06-02 00:00:00.000,2,Sunday,1,6,63,153,6/2
20190603,date,2019-06-03 00:00:00.000,3,Monday,2,7,64,154,6/3
20190604,date,2019-06-04 00:00:00.000,4,Tuesday,3,1,65,155,6/4
20190605,date,2019-06-05 00:00:00.000,5,Wednesday,4,2,66,156,6/5
20190606,date,2019-06-06 00:00:00.000,6,Thursday,5,3,67,157,6/6
20190607,date,2019-06-07 00:00:00.000,7,Friday,6,4,68,158,6/7
20190608,date,2019-06-08 00:00:00.000,8,Saturday,7,5,69,159,6/8
20190609,date,2019-06-09 00:00:00.000,9,Sunday,1,6,70,160,6/9
20190610,date,2019-06-10 00:00:00.000,10,Monday,2,7,71,161,6/10
20190611,date,2019-06-11 00:00:00.000,11,Tuesday,3,1,72,162,6/11
20190612,date,2019-06-12 00:00:00.000,12,Wednesday,4,2,73,163,6/12
20190613,date,2019-06-13 00:00:00.000,13,Thursday,5,3,74,164,6/13
20190614,date,2019-06-14 00:00:00.000,14,Friday,6,4,75,165,6/14
20190615,date,2019-06-15 00:00:00.000,15,Saturday,7,5,76,166,6/15
20190616,date,2019-06-16 00:00:00.000,16,Sunday,1,6,77,167,6/16
20190617,date,2019-06-17 00:00:00.000,17,Monday,2,7,78,168,6/17
20190618,date,2019-06-18 00:00:00.000,18,Tuesday,3,1,79,169,6/18
20190619,date,2019-06-19 00:00:00.000,19,Wednesday,4,2,80,170,6/19
20190620,date,2019-06-20 00:00:00.000,20,Thursday,5,3,81,171,6/20
20190621,date,2019-06-21 00:00:00.000,21,Friday,6,4,82,172,6/21
20190622,date,2019-06-22 00:00:00.000,22,Saturday,7,5,83,173,6/22
20190623,date,2019-06-23 00:00:00.000,23,Sunday,1,6,84,174,6/23
20190624,date,2019-06-24 00:00:00.000,24,Monday,2,7,85,175,6/24
20190625,date,2019-06-25 00:00:00.000,25,Tuesday,3,1,86,176,6/25
20190626,date,2019-06-26 00:00:00.000,26,Wednesday,4,2,87,177,6/26
20190627,date,2019-06-27 00:00:00.000,27,Thursday,5,3,88,178,6/27
20190628,date,2019-06-28 00:00:00.000,28,Friday,6,4,89,179,6/28
20190629,date,2019-06-29 00:00:00.000,29,Saturday,7,5,90,180,6/29
20190630,date,2019-06-30 00:00:00.000,30,Sunday,1,6,91,181,6/30
