bannerTermCode,termFrom1900,quarter,quarterName,quarterYear,quarterNameYear,yearQuarter,year,quarterMonthWeekDay,quarterMonthWeek
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103316,1033
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103317,1033
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103318,1033
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103319,1033
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103320,1033
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103321,1033
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103422,1034
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103423,1034
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103424,1034
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103425,1034
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103426,1034
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103427,1034
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103428,1034
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103529,1035
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103530,1035
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103531,1035
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204101,2041
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204102,2041
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204103,2041
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204104,2041
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204105,2041
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204106,2041
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204107,2041
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204208,2042
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204209,2042
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204210,2042
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204211,2042
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204212,2042
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204213,2042
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204214,2042
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204315,2043
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204316,2043
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204317,2043
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204318,2043
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204319,2043
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204320,2043
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204321,2043
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204422,2044
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204423,2044
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204424,2044
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204425,2044
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204426,2044
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204427,2044
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204428,2044
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204529,2045
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204530,2045
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205101,2051
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205102,2051
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205103,2051
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205104,2051
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205105,2051
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205106,2051
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205107,2051
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205208,2052
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205209,2052
20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205210,2052
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205211,2052
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205212,2052
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205213,2052
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205214,2052
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205315,2053
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205316,2053
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205317,2053
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205318,2053
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205319,2053
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205320,2053
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205321,2053
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205422,2054
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205423,2054
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205424,2054
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205425,2054
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205426,2054
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205427,2054
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205428,2054
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205529,2055
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205530,2055
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205531,2055
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206101,2061
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206102,2061
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206103,2061
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206104,2061
20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206105,2061
