calendarWeekOfYear,noncalendarWeekOfYear,yearQuarterMonthWeek,month,monthName,monthOfQuarter,monthYear,monthNameYear,yearQuarterMonth,termCode,bannerTermCode,termFrom1900,quarter,quarterName,quarterYear,quarterNameYear,yearQuarter,year,quarterMonthWeekDay,quarterMonthWeek
7,7,20001022,2,February,2,2/2000,"February, 2000",2000102,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102214,1022
7,7,20001023,2,February,2,2/2000,"February, 2000",2000102,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102315,1023
7,7,20001023,2,February,2,2/2000,"February, 2000",2000102,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102316,1023
7,7,20001023,2,February,2,2/2000,"February, 2000",2000102,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102317,1023
7,7,20001023,2,February,2,2/2000,"February, 2000",2000102,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102318,1023
7,8,20001023,2,February,2,2/2000,"February, 2000",2000102,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102319,1023
8,8,20001023,2,February,2,2/2000,"February, 2000",2000102,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102320,1023
8,8,20001023,2,February,2,2/2000,"February, 2000",2000102,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102321,1023
8,8,20001024,2,February,2,2/2000,"February, 2000",2000102,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102422,1024
8,8,20001024,2,February,2,2/2000,"February, 2000",2000102,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102423,1024
8,8,20001024,2,February,2,2/2000,"February, 2000",2000102,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102424,1024
8,8,20001024,2,February,2,2/2000,"February, 2000",2000102,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102425,1024
8,9,20001024,2,February,2,2/2000,"February, 2000",2000102,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102426,1024
9,9,20001024,2,February,2,2/2000,"February, 2000",2000102,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102427,1024
