monthNameDay,monthDayYear,monthNameDayYear,dayYear,yearQuarterMonthWeekDay,dayFrom1900,calendarWeekOfMonth,noncalendarWeekOfMonth,calendarWeekOfQuarter,noncalendarWeekOfQuarter
15-Mar,3/15/2019,15-Mar-19,74/2019,2019103315,43539,2,3,10,11
16-Mar,3/16/2019,16-Mar-19,75/2019,2019103316,43540,2,3,10,11
17-Mar,3/17/2019,17-Mar-19,76/2019,2019103317,43541,3,3,11,11
18-Mar,3/18/2019,18-Mar-19,77/2019,2019103318,43542,3,3,11,11
19-Mar,3/19/2019,19-Mar-19,78/2019,2019103319,43543,3,3,11,12
20-Mar,3/20/2019,20-Mar-19,79/2019,2019103320,43544,3,3,11,12
21-Mar,3/21/2019,21-Mar-19,80/2019,2019103321,43545,3,3,11,12
22-Mar,3/22/2019,22-Mar-19,81/2019,2019103422,43546,3,4,11,12
23-Mar,3/23/2019,23-Mar-19,82/2019,2019103423,43547,3,4,11,12
24-Mar,3/24/2019,24-Mar-19,83/2019,2019103424,43548,4,4,12,12
25-Mar,3/25/2019,25-Mar-19,84/2019,2019103425,43549,4,4,12,12
26-Mar,3/26/2019,26-Mar-19,85/2019,2019103426,43550,4,4,12,13
27-Mar,3/27/2019,27-Mar-19,86/2019,2019103427,43551,4,4,12,13
28-Mar,3/28/2019,28-Mar-19,87/2019,2019103428,43552,4,4,12,13
29-Mar,3/29/2019,29-Mar-19,88/2019,2019103529,43553,4,5,12,13
30-Mar,3/30/2019,30-Mar-19,89/2019,2019103530,43554,4,5,12,13
31-Mar,3/31/2019,31-Mar-19,90/2019,2019103531,43555,5,5,13,13
1-Apr,4/1/2019,1-Apr-19,91/2019,2019204101,43556,0,1,0,1
2-Apr,4/2/2019,2-Apr-19,92/2019,2019204102,43557,0,1,0,1
3-Apr,4/3/2019,3-Apr-19,93/2019,2019204103,43558,0,1,0,1
4-Apr,4/4/2019,4-Apr-19,94/2019,2019204104,43559,0,1,0,1
5-Apr,4/5/2019,5-Apr-19,95/2019,2019204105,43560,0,1,0,1
6-Apr,4/6/2019,6-Apr-19,96/2019,2019204106,43561,0,1,0,1
7-Apr,4/7/2019,7-Apr-19,97/2019,2019204107,43562,1,1,1,1
8-Apr,4/8/2019,8-Apr-19,98/2019,2019204208,43563,1,2,1,2
9-Apr,4/9/2019,9-Apr-19,99/2019,2019204209,43564,1,2,1,2
10-Apr,4/10/2019,10-Apr-19,100/2019,2019204210,43565,1,2,1,2
11-Apr,4/11/2019,11-Apr-19,101/2019,2019204211,43566,1,2,1,2
12-Apr,4/12/2019,12-Apr-19,102/2019,2019204212,43567,1,2,1,2
13-Apr,4/13/2019,13-Apr-19,103/2019,2019204213,43568,1,2,1,2
14-Apr,4/14/2019,14-Apr-19,104/2019,2019204214,43569,2,2,2,2
15-Apr,4/15/2019,15-Apr-19,105/2019,2019204315,43570,2,3,2,3
16-Apr,4/16/2019,16-Apr-19,106/2019,2019204316,43571,2,3,2,3
17-Apr,4/17/2019,17-Apr-19,107/2019,2019204317,43572,2,3,2,3
18-Apr,4/18/2019,18-Apr-19,108/2019,2019204318,43573,2,3,2,3
19-Apr,4/19/2019,19-Apr-19,109/2019,2019204319,43574,2,3,2,3
20-Apr,4/20/2019,20-Apr-19,110/2019,2019204320,43575,2,3,2,3
21-Apr,4/21/2019,21-Apr-19,111/2019,2019204321,43576,3,3,3,3
22-Apr,4/22/2019,22-Apr-19,112/2019,2019204422,43577,3,4,3,4
23-Apr,4/23/2019,23-Apr-19,113/2019,2019204423,43578,3,4,3,4
24-Apr,4/24/2019,24-Apr-19,114/2019,2019204424,43579,3,4,3,4
25-Apr,4/25/2019,25-Apr-19,115/2019,2019204425,43580,3,4,3,4
26-Apr,4/26/2019,26-Apr-19,116/2019,2019204426,43581,3,4,3,4
27-Apr,4/27/2019,27-Apr-19,117/2019,2019204427,43582,3,4,3,4
28-Apr,4/28/2019,28-Apr-19,118/2019,2019204428,43583,4,4,4,4
29-Apr,4/29/2019,29-Apr-19,119/2019,2019204529,43584,4,5,4,5
30-Apr,4/30/2019,30-Apr-19,120/2019,2019204530,43585,4,5,4,5
1-May,5/1/2019,1-May-19,121/2019,2019205101,43586,0,1,4,5
2-May,5/2/2019,2-May-19,122/2019,2019205102,43587,0,1,4,5
3-May,5/3/2019,3-May-19,123/2019,2019205103,43588,0,1,4,5
4-May,5/4/2019,4-May-19,124/2019,2019205104,43589,0,1,4,5
5-May,5/5/2019,5-May-19,125/2019,2019205105,43590,1,1,5,5
6-May,5/6/2019,6-May-19,126/2019,2019205106,43591,1,1,5,6
7-May,5/7/2019,7-May-19,127/2019,2019205107,43592,1,1,5,6
8-May,5/8/2019,8-May-19,128/2019,2019205208,43593,1,2,5,6
9-May,5/9/2019,9-May-19,129/2019,2019205209,43594,1,2,5,6
10-May,5/10/2019,10-May-19,130/2019,2019205210,43595,1,2,5,6
11-May,5/11/2019,11-May-19,131/2019,2019205211,43596,1,2,5,6
12-May,5/12/2019,12-May-19,132/2019,2019205212,43597,2,2,6,6
13-May,5/13/2019,13-May-19,133/2019,2019205213,43598,2,2,6,7
14-May,5/14/2019,14-May-19,134/2019,2019205214,43599,2,2,6,7
15-May,5/15/2019,15-May-19,135/2019,2019205315,43600,2,3,6,7
16-May,5/16/2019,16-May-19,136/2019,2019205316,43601,2,3,6,7
17-May,5/17/2019,17-May-19,137/2019,2019205317,43602,2,3,6,7
18-May,5/18/2019,18-May-19,138/2019,2019205318,43603,2,3,6,7
19-May,5/19/2019,19-May-19,139/2019,2019205319,43604,3,3,7,7
20-May,5/20/2019,20-May-19,140/2019,2019205320,43605,3,3,7,8
21-May,5/21/2019,21-May-19,141/2019,2019205321,43606,3,3,7,8
22-May,5/22/2019,22-May-19,142/2019,2019205422,43607,3,4,7,8
23-May,5/23/2019,23-May-19,143/2019,2019205423,43608,3,4,7,8
24-May,5/24/2019,24-May-19,144/2019,2019205424,43609,3,4,7,8
25-May,5/25/2019,25-May-19,145/2019,2019205425,43610,3,4,7,8
26-May,5/26/2019,26-May-19,146/2019,2019205426,43611,4,4,8,8
27-May,5/27/2019,27-May-19,147/2019,2019205427,43612,4,4,8,9
28-May,5/28/2019,28-May-19,148/2019,2019205428,43613,4,4,8,9
29-May,5/29/2019,29-May-19,149/2019,2019205529,43614,4,5,8,9
30-May,5/30/2019,30-May-19,150/2019,2019205530,43615,4,5,8,9
